,EinheitMastrNummer,DatumLetzteAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer_basic,NichtVorhandenInMigriertenEinheiten,EinheitSystemstatus,NameKraftwerk,NameKraftwerksblock,DatumBaubeginn,AnzeigeEinerStilllegung,ArtDerStilllegung,DatumBeginnVorlaeufigenOderEndgueltigenStilllegung,SteigerungNettonennleistungKombibetrieb,AnlageIstImKombibetrieb,MastrNummernKombibetrieb,NetzreserveAbDatum,SicherheitsbereitschaftAbDatum,Hauptbrennstoff,WeitererHauptbrennstoff,WeitereBrennstoffe,VerknuepfteErzeugungseinheiten,BestandteilGrenzkraftwerk,NettonennleistungDeutschland,AnteiligNutzungsberechtigte,Notstromaggregat,Einsatzort,KwkMastrNummer_extended,Technologie,AusschliesslicheVerwendungImKombibetrieb,NetzbetreiberMastrNummer,Registrierungsdatum,EinheitMastrNummer_extended,DatumLetzteAktualisierung_1,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumBeendigungVorlaeufigenStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus_1,EinheitBetriebsstatus_extended,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten_extended,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_extended,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_extended,Netzbetreiberzuordnungen,Hausnummer_nv,Weic_nv,Kraftwerksnummer_nv,DatenQuelle,DatumDownload,Registrierungsdatum_1,KwkMastrNummer_kwk,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,VerknuepfteEinheiten_kwk,AnlageBetriebsstatus_kwk,AusschreibungZuschlag_kwk,Netzbetreiberzuordnungen_1,DatenQuelle_1,DatumDownload_1,Registrierungsdatum_2,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit,VerknuepfteEinheiten,Frist_nv,WasserrechtAblaufdatum_nv,Netzbetreiberzuordnungen_2,DatenQuelle_2,DatumDownload_2
2272,SEE956379036891,2021-09-29 04:37:01.348387,,,Verbrennung,,99.0,,In Betrieb,,,KWK966132640609,,,,0,Aktiviert,,KWK Tippkötter / IKS,,,,,,,,,,"Heizöl, leicht",,,,,,,False,,KWK966132640609,Verbrennungsmotor,,,2021-08-20,SEE956379036891,2021-09-29 04:37:01.348387,SEL944635103432,1,,ABR942592172997,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,Am Biotop,False,20,False,,Strausberg,13.906,52.585,,,,,,,,2014-06-15,,,,,Aktiviert,In Betrieb,,False,,,,KWK Tippkötter / IKS,,,,Mineralölprodukte,99.0,98.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2021-08-20,KWK966132640609,,2021-09-29 04:37:01.285886,2014-06-15,,40.0,99.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
2445,SEE949439054478,2019-05-28 08:26:38.031669,,,Verbrennung,,1.0,,In Betrieb,,,KWK995581669329,,,,0,Aktiviert,Elcore,Elcore,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK995581669329,Brennstoffzelle,,,2019-02-20,SEE949439054478,2019-05-28 08:26:38.031669,SEL935067149754,1,,ABR916168482926,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2016-09-29,,,,,Aktiviert,In Betrieb,,False,,,,Elcore,,,,Erdgas,1.0,0.3,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-02-20,KWK995581669329,,2019-02-27 20:49:42.729053,2016-09-29,,1.0,1.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
2604,SEE989623454936,2019-05-28 08:26:38.031669,,,Verbrennung,,1.0,,In Betrieb,,,KWK962968653738,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK962968653738,Verbrennungsmotor,,,2019-02-21,SEE989623454936,2019-05-28 08:26:38.031669,SEL938273041959,0,2021-10-01,ABR990790538398,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2015-06-15,,,,,Aktiviert,In Betrieb,,False,,,,BHKW,,,,Erdgas,1.0,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-02-21,KWK962968653738,,2019-02-21 16:34:14.498607,2015-06-15,,2.5,1.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
3470,SEE906633807538,2019-05-28 08:26:38.031669,,,Verbrennung,,1.1,,In Betrieb,,,KWK924183936027,,,,0,Aktiviert,KWKeller,eVita,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK924183936027,Stirlingmotor,,,2019-03-03,SEE906633807538,2019-05-28 08:26:38.031669,SEL991482033160,1,,ABR924055678703,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2015-11-06,,,,,Aktiviert,In Betrieb,,False,,,,KWHaus,,,,Erdgas,1.1,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-03-03,KWK924183936027,,2019-04-14 10:29:25.211457,2015-11-06,,5.6,1.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
12595,SEE969182146282,2020-04-10 19:13:07.457427,,,Verbrennung,,1.1,,In Betrieb,,,KWK966856096829,,,,0,Aktiviert,Blockheizkraftwerk GbR,Blockheizkraftwerk GbR,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK966856096829,Stirlingmotor,,,2019-07-14,SEE969182146282,2020-04-10 19:13:07.457427,SEL999826735831,1,,ABR941810820337,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2018-01-18,,,,,Aktiviert,In Betrieb,,False,,2020-04-01,2020-04-10,Koslowski＆KoslowskiBlockheizwerk GbR,,,,Erdgas,1.1,1.1,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-07-14,KWK966856096829,,2019-07-14 13:50:01.897833,2018-01-18,,25.0,1.1,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
23721,SEE989583550129,2020-01-06 13:16:32.845935,,,Verbrennung,,50.0,,In Betrieb,,,KWK983638220401,,,,0,Aktiviert,BHKW-Lindenpromenade 13,BHKW-Lindenpromenade 13,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK983638220401,Verbrennungsmotor,,,2020-01-06,SEE989583550129,2020-01-06 13:16:32.845935,SEL976809149489,1,,ABR980692321167,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,Lindenpromenade,False,13,True,,Strausberg,13.842455,52.536712,,,,,,,,2018-09-18,,,,,Aktiviert,In Betrieb,,False,,,,BHKW-Lindenpromenade 13,,,,Erdgas,50.0,50.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2020-01-06,KWK983638220401,,2020-01-06 13:16:32.814933,2018-09-18,,84.0,50.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
43524,SEE910838036150,2023-04-16 06:06:28.223320,,,Verbrennung,,1.0,,In Betrieb,,,KWK935144799643,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK935144799643,Verbrennungsmotor,,,2020-11-07,SEE910838036150,2023-04-16 06:06:28.223320,SEL918601338036,1,,ABR935829019455,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2016-07-06,,,,,Aktiviert,In Betrieb,,False,,,,BHKW Vaillant,,,,Erdgas,1.0,1.0,,,,,True,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-11-07,KWK935144799643,,2021-01-09 11:04:06.357076,2016-07-06,,1.0,1.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
44906,SEE912393603969,2020-11-24 18:58:11.579908,,,Verbrennung,,1.0,,In Betrieb,,,KWK992778745149,,,,0,Aktiviert,,,,,,,,,,,,,,,,,,,False,,KWK992778745149,Verbrennungsmotor,,,2020-11-18,SEE912393603969,2020-11-24 18:58:11.579908,SEL981492441895,1,,ABR987244643890,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2018-12-14,,,,,Aktiviert,In Betrieb,,False,,,,KWK Jungfernstrasse 29,,,,Erdgas,1.0,1.0,,,,,False,,,,,,,,False,False,bulk,2024-01-08,2020-11-18,KWK992778745149,,2020-11-24 18:58:11.533029,2018-12-14,,2.5,1.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
49347,SEE961310456508,2021-01-20 10:25:35.767353,,,Verbrennung,,1.0,,In Betrieb,,,KWK991834739801,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK991834739801,Sonstige,,,2020-12-14,SEE961310456508,2021-01-20 10:25:35.767353,SEL932910064042,1,,ABR951588680057,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2015-11-01,,,,,Aktiviert,In Betrieb,,False,,,,Haus 1a,,,,Erdgas,1.0,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-12-14,KWK991834739801,,2021-01-20 10:25:35.657983,2015-11-01,,2.5,1.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
49368,SEE948647169264,2021-01-20 10:29:16.576535,,,Verbrennung,,1.0,,In Betrieb,,,KWK971227975153,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK971227975153,Sonstige,,,2020-12-14,SEE948647169264,2021-01-20 10:29:16.576535,SEL984560120906,1,,ABR951588680057,Deutschland,Brandenburg,Märkisch-Oderland,Strausberg,12064472,15344,,,,,,,,Strausberg,,,,,,,,,,2015-06-15,,,,,Aktiviert,In Betrieb,,False,,,,Haus 1b,,,,Erdgas,1.0,1.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2020-12-14,KWK971227975153,,2021-01-20 10:29:16.545286,2015-06-15,,2.5,1.0,,,False,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
