,EinheitMastrNummer,DatumLetzteAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer_basic,NichtVorhandenInMigriertenEinheiten,EinheitSystemstatus,NameKraftwerk,NameKraftwerksblock,DatumBaubeginn,AnzeigeEinerStilllegung,ArtDerStilllegung,DatumBeginnVorlaeufigenOderEndgueltigenStilllegung,SteigerungNettonennleistungKombibetrieb,AnlageIstImKombibetrieb,MastrNummernKombibetrieb,NetzreserveAbDatum,SicherheitsbereitschaftAbDatum,Hauptbrennstoff,WeitererHauptbrennstoff,WeitereBrennstoffe,VerknuepfteErzeugungseinheiten,BestandteilGrenzkraftwerk,NettonennleistungDeutschland,AnteiligNutzungsberechtigte,Notstromaggregat,Einsatzort,KwkMastrNummer_extended,Technologie,AusschliesslicheVerwendungImKombibetrieb,NetzbetreiberMastrNummer,Registrierungsdatum,EinheitMastrNummer_extended,DatumLetzteAktualisierung_1,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumBeendigungVorlaeufigenStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus_1,EinheitBetriebsstatus_extended,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten_extended,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_extended,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_extended,Netzbetreiberzuordnungen,Hausnummer_nv,Weic_nv,Kraftwerksnummer_nv,DatenQuelle,DatumDownload,Registrierungsdatum_1,KwkMastrNummer_kwk,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,VerknuepfteEinheiten_kwk,AnlageBetriebsstatus_kwk,AusschreibungZuschlag_kwk,Netzbetreiberzuordnungen_1,DatenQuelle_1,DatumDownload_1,Registrierungsdatum_2,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit,VerknuepfteEinheiten,Frist_nv,WasserrechtAblaufdatum_nv,Netzbetreiberzuordnungen_2,DatenQuelle_2,DatumDownload_2
1061,SEE923061647758,2019-05-28 08:26:38.031669,,,Verbrennung,,880.0,,In Betrieb,,,,,,,0,Aktiviert,,,,,,,,False,,,,Dieselkraftstoff,,,,False,,,True,Kaufhaus,,Verbrennungsmotor,,,2019-02-08,SEE923061647758,2019-05-28 08:26:38.031669,SEL968977966302,1,,ABR952227194423,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24103,,,Holstenstraße,False,10,False,,Kiel,10.138923,54.322621,,,,,,,,2012-11-30,,,,,Aktiviert,In Betrieb,,False,,,,"Netzersatzanlage, Matrix Projekt 5 GmbH ＆ Co. KG",,,,Mineralölprodukte,880.0,704.0,,,,,False,False,,,,,,False,True,False,bulk,2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,SEE919753844635,2019-05-28 08:26:38.031669,,,Verbrennung,,5.5,,In Betrieb,,,KWK910660681856,,,,0,Aktiviert,Dachs,Dachs,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK910660681856,Gasturbinen mit Abhitzekessel,,,2019-02-09,SEE919753844635,2019-05-28 08:26:38.031669,SEL932221407033,1,,ABR972894955523,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24148,,,,,,,,Kiel,,,,,,,,,,2013-09-20,,,,,Aktiviert,In Betrieb,,False,,,,ETV Kiel v. 1886 e. V.,,,,Erdgas,5.5,5.5,,,,,False,,,Volleinspeisung,,,,,False,False,bulk,2024-01-08,2019-02-09,KWK910660681856,,2019-02-09 18:01:01.627120,2013-09-20,,5.5,5.5,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
2306,SEE953404590373,2019-05-28 08:26:38.031669,,,Verbrennung,,50.0,,In Betrieb,,,KWK975852765158,,,,0,Aktiviert,BHKW Elmschenhagen 5,Modul 1,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK975852765158,Verbrennungsmotor,,,2019-02-20,SEE953404590373,2019-05-28 08:26:38.031669,SEL907985818555,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24146,,,Rüsterstraße,False,30,False,,Kiel,10.179,54.294,,,,,,,,2017-06-20,,,,,Aktiviert,In Betrieb,,False,,,,BHKW Elmschenhagen 5,,,,Erdgas,50.0,50.0,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,False,False,False,bulk,2024-01-08,2019-02-20,KWK975852765158,,2019-02-20 08:20:22.155441,2017-06-20,,92.0,50.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
2402,SEE951839779134,2022-01-28 13:13:51.581083,,,Verbrennung,,9571.0,,In Betrieb,,,KWK942439510654,,SGE931099506657,,0,Aktiviert,,,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,,False,,KWK942439510654,Verbrennungsmotor,,,2019-06-05,SEE951839779134,2022-01-28 13:13:51.581083,SEL974238402496,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24149,,,Hasselfelde,False,30,False,,Kiel,10.179,54.341,,,,,,,,2018-12-07,,,,,Aktiviert,In Betrieb,,False,,,,Küstenkraftwerk K.I.E.L Motor 1,11W0-0000-0163-M,GHKWKIEL,,Erdgas,9571.0,9456.0,True,,,,True,False,,Volleinspeisung,,SGE931099506657,,False,False,False,bulk,2024-01-08,2019-06-05,KWK942439510654,,2022-01-31 07:07:25.230511,2019-11-28,,201645.0,189116.0,,,False,,bulk,2024-01-08,2019-03-07,SGE931099506657,2019-03-07 07:35:04.988557,nach BImSchG i.V.m 13. BImSchV,2018-09-28,"Landesamt für Landwirtschaft, Umwelt und ländliche Räume Schleswig-Holstein",LLUR 707/713-G50/2013/008-5TG,2020-09-28,,,,"SEE918583974024, SEE939823727910, SEE904076796426, SEE940475173918, SEE967544153657, SEE921059219284, SEE934242259776, SEE916435406600, SEE985206646330, SEE916115669219, SEE953574430066, SEE905939296770, SEE941552924256, SEE937791832391, SEE932569905017, SEE979353792927, SEE994826833730, SEE987324322059, SEE963125615224, SEE991765431447, SEE951839779134",False,False,,bulk,2024-01-08
2686,SEE953383029390,2022-07-12 09:11:31.237302,,,Verbrennung,,19.9,,In Betrieb,,,KWK904834179669,,,,0,Aktiviert,,,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK904834179669,Verbrennungsmotor,,,2019-02-26,SEE953383029390,2022-07-12 09:11:31.237302,SEL968838465975,1,,ABR993889718473,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24113,,,,,,,,Kiel,,,,,,,,,,2017-11-28,,,,,Aktiviert,In Betrieb,,False,,,,"Hybrid-Anlage Krummbogen 82 / Pestalozzistraße, KI",,,,Erdgas,19.9,19.9,,,,,False,,,Teileinspeisung (einschließlich Eigenverbrauch),,,,,False,False,bulk,2024-01-08,2019-02-26,KWK904834179669,,2022-07-12 09:11:31.221689,2017-11-28,,47.1,19.9,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
2702,SEE912461323935,2019-07-31 08:22:06.567130,,,Verbrennung,,50.0,,In Betrieb,,,KWK916621264632,,,,0,Aktiviert,OW233 Pries 1,Modul 1,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK916621264632,Verbrennungsmotor,,,2019-02-22,SEE912461323935,2019-07-31 08:22:06.567130,SEL942968596761,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24159,,,Wagnerring,False,7 b,False,,Kiel,10.157,54.396,,,,,,,,2018-11-07,,,,,Aktiviert,In Betrieb,,False,,,,OW233 Pries 1,,,,Erdgas,50.0,50.0,,,,,True,,,Volleinspeisung,,,,False,False,False,bulk,2024-01-08,2019-02-22,KWK916621264632,,2019-07-31 08:22:06.481125,2018-11-07,,92.0,50.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
3193,SEE956253119092,2019-07-31 08:19:49.612311,,,Verbrennung,,367.0,,In Betrieb,,,KWK906983400397,,,,0,Aktiviert,BHKW Neumeimersdorf 1,Modul 1,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,,False,,KWK906983400397,Verbrennungsmotor,,,2019-02-28,SEE956253119092,2019-07-31 08:19:49.612311,SEL983478854712,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24145,,,Bustorfer Weg,False,78,False,,Kiel,10.127,54.283,,,,,,,,2017-09-25,,,,,Aktiviert,In Betrieb,,False,,,,BHKW Neumeimersdorf 1,,,,Erdgas,367.0,350.0,,,,,True,False,,Volleinspeisung,,,,False,True,False,bulk,2024-01-08,2019-02-28,KWK906983400397,,2019-07-31 08:19:49.556303,2002-06-12,,489.0,367.0,,,,,bulk,2024-01-08,,,,,,,,,,,,,,,,,
3842,SEE918583974024,2022-01-28 13:17:29.499101,,,Verbrennung,,9571.0,,In Betrieb,,,KWK942439510654,,SGE931099506657,,0,Aktiviert,,,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,,False,,KWK942439510654,Verbrennungsmotor,,,2019-06-05,SEE918583974024,2022-01-28 13:17:29.499101,SEL919721702967,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24149,,,Hasselfelde,False,30,False,,Kiel,10.179,54.341,,,,,,,,2018-11-21,,,,,Aktiviert,In Betrieb,,False,,,,Küstenkraftwerk K.I.E.L Motor 2,11W0-0000-0163-M,GHKWKIEL,,Erdgas,9571.0,9456.0,True,,,,True,False,,Volleinspeisung,,SGE931099506657,,False,False,False,bulk,2024-01-08,2019-06-05,KWK942439510654,,2022-01-31 07:07:25.230511,2019-11-28,,201645.0,189116.0,,,False,,bulk,2024-01-08,2019-03-07,SGE931099506657,2019-03-07 07:35:04.988557,nach BImSchG i.V.m 13. BImSchV,2018-09-28,"Landesamt für Landwirtschaft, Umwelt und ländliche Räume Schleswig-Holstein",LLUR 707/713-G50/2013/008-5TG,2020-09-28,,,,"SEE918583974024, SEE939823727910, SEE904076796426, SEE940475173918, SEE967544153657, SEE921059219284, SEE934242259776, SEE916435406600, SEE985206646330, SEE916115669219, SEE953574430066, SEE905939296770, SEE941552924256, SEE937791832391, SEE932569905017, SEE979353792927, SEE994826833730, SEE987324322059, SEE963125615224, SEE991765431447, SEE951839779134",False,False,,bulk,2024-01-08
3843,SEE939823727910,2022-01-28 13:18:33.591278,,,Verbrennung,,9571.0,,In Betrieb,,,KWK942439510654,,SGE931099506657,,0,Aktiviert,Küstenkraftwerk K.I.E.L,Küstenkraftwerk K.I.E.L,,,,,,,,,,"Erdgas, Erdölgas",,,,,,,False,,KWK942439510654,Verbrennungsmotor,,,2019-06-05,SEE939823727910,2022-01-28 13:18:33.591278,SEL951733738435,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24149,,,Hasselfelde,False,30,False,,Kiel,10.179,54.341,,,,,,,,2018-11-16,,,,,Aktiviert,In Betrieb,,False,,,,Küstenkraftwerk K.I.E.L Motor 3,11W0-0000-0163-M,GHKWKIEL,,Erdgas,9571.0,9456.0,True,,,,True,,,Volleinspeisung,,SGE931099506657,,False,False,False,bulk,2024-01-08,2019-06-05,KWK942439510654,,2022-01-31 07:07:25.230511,2019-11-28,,201645.0,189116.0,,,False,,bulk,2024-01-08,2019-03-07,SGE931099506657,2019-03-07 07:35:04.988557,nach BImSchG i.V.m 13. BImSchV,2018-09-28,"Landesamt für Landwirtschaft, Umwelt und ländliche Räume Schleswig-Holstein",LLUR 707/713-G50/2013/008-5TG,2020-09-28,,,,"SEE918583974024, SEE939823727910, SEE904076796426, SEE940475173918, SEE967544153657, SEE921059219284, SEE934242259776, SEE916435406600, SEE985206646330, SEE916115669219, SEE953574430066, SEE905939296770, SEE941552924256, SEE937791832391, SEE932569905017, SEE979353792927, SEE994826833730, SEE987324322059, SEE963125615224, SEE991765431447, SEE951839779134",False,False,,bulk,2024-01-08
3844,SEE904076796426,2022-01-28 13:18:39.208012,,,Verbrennung,,9571.0,,In Betrieb,,,KWK942439510654,,SGE931099506657,,0,Aktiviert,,,,,,,,False,,,,"Erdgas, Erdölgas",,,,False,,,False,,KWK942439510654,Verbrennungsmotor,,,2019-06-05,SEE904076796426,2022-01-28 13:18:39.208012,SEL928585304873,1,,ABR985250519932,Deutschland,Schleswig-Holstein,Kiel,Kiel,1002000,24149,,,Hasselfelde,False,30,False,,Kiel,10.179,54.341,,,,,,,,2018-11-23,,,,,Aktiviert,In Betrieb,,False,,,,Küstenkraftwerk K.I.E.L Motor 4,11W0-0000-0163-M,GHKWKIEL,,Erdgas,9571.0,9456.0,True,,,,True,False,,Volleinspeisung,,SGE931099506657,,False,False,False,bulk,2024-01-08,2019-06-05,KWK942439510654,,2022-01-31 07:07:25.230511,2019-11-28,,201645.0,189116.0,,,False,,bulk,2024-01-08,2019-03-07,SGE931099506657,2019-03-07 07:35:04.988557,nach BImSchG i.V.m 13. BImSchV,2018-09-28,"Landesamt für Landwirtschaft, Umwelt und ländliche Räume Schleswig-Holstein",LLUR 707/713-G50/2013/008-5TG,2020-09-28,,,,"SEE918583974024, SEE939823727910, SEE904076796426, SEE940475173918, SEE967544153657, SEE921059219284, SEE934242259776, SEE916435406600, SEE985206646330, SEE916115669219, SEE953574430066, SEE905939296770, SEE941552924256, SEE937791832391, SEE932569905017, SEE979353792927, SEE994826833730, SEE987324322059, SEE963125615224, SEE991765431447, SEE951839779134",False,False,,bulk,2024-01-08
